Team Rank,Team Overall,FG%,FT%,TRB,AST,PTS,POS_C,POS_PG,POS_PF,POS_SF,POS_SG
0.034482758620689655,1.4009766489590707,0.39072336046268075,0.5037660421941088,0.8681683203646771,0.9362993903020322,3.556989242681145,0,0,0,0,1
0.10344827586206896,1.3349793585960454,1.7455024447842464,-1.231288500049879,2.9971508627931285,0.32339580405172536,3.488427172998616,1,0,0,0,0
0.06896551724137931,1.4009766489590707,1.1307287426551331,0.3484887874407557,2.5789578633875396,1.1591734216657803,3.2656004465303963,0,0,1,0,0
0.7241379310344828,-0.314952900479585,0.4476468514005611,0.6657944819367382,0.7541156841631529,0.5462698354154732,2.648541819387633,0,0,0,1,0
0.7931034482758621,-0.908928513746812,0.16302939671115674,1.0438608413362058,-0.0822703146480244,1.2148919295067173,2.614260784546369,0,0,0,0,1
0.6896551724137931,-0.314952900479585,-0.08743396341551964,-0.43464867131528545,2.5409403179870313,0.8248623746201582,2.4771366451813104,0,0,1,0,0
0.896551724137931,-1.4369068366510138,0.618417324214204,0.5037660421941088,1.3623964105712818,0.43483281973359944,2.4599961277606783,0,0,0,1,0
0.3103448275862069,0.6750064549657933,0.2996457749620711,0.9425930664970625,0.2979051393570562,0.21195878836985152,2.4599961277606783,0,0,0,1,0
0.7586206896551724,-0.6449393522947112,0.34518456771237593,0.13245086778391654,0.06979986695400797,2.4406991020073314,2.4085745754987813,0,1,0,0,0
0.5517241379310345,0.08103084169856628,0.5842632296514755,-0.8127150307147539,2.274817500183475,1.103454913824843,2.391434058078149,1,0,0,0,0
0.2413793103448276,1.0049929067809193,0.9144194770911852,0.17295797771957389,2.6930104995890636,0.49055132757453646,2.3400125058162526,1,0,0,0,0
0.8275862068965517,-1.3709095462879886,0.20856818946146155,0.5037660421941088,0.6780805933621368,1.7163585000751505,2.3228719883956197,0,0,0,1,0
0.8620689655172413,-1.4369068366510138,-0.3834361162925002,0.24046982761233612,0.03178232155349987,1.7163585000751505,2.305731470974987,0,0,0,0,1
0.2413793103448276,1.0049929067809193,1.347038008219081,-0.31987852649758963,3.1872385897956685,0.49055132757453646,2.254309918713091,0,0,1,0,0
0.6551724137931034,-0.2489556101165598,0.24272228402419013,0.20671390266595502,1.5905016829743304,2.775010149052953,2.254309918713091,0,0,0,1,0
0.5172413793103449,0.14702813206159152,0.8347265897781518,0.07169020288043054,2.5409403179870313,-0.40094479788045545,2.202888366451194,1,0,0,0,0
0.4482758620689655,0.27902271278764196,0.8119571934029994,0.7535598867973283,1.9706771369794103,1.270610437347654,2.082904744506768,0,0,0,1,0
0.3448275862068966,0.609009164602768,0.15164469852358056,0.98310017643272,0.25988759395654826,1.2148919295067173,2.082904744506768,0,0,0,0,1
1.0,-1.9648851595552157,-0.428974909042805,-0.13759653178713238,0.6780805933621368,0.6577068510973474,2.031483192244871,0,0,0,1,0
0.41379310344827586,0.34502000315066716,-0.08743396341551964,0.8008181817222619,0.44997532095908854,0.7134253589382844,2.0143426748242383,0,0,0,0,1
0.4827586206896552,0.14702813206159152,-0.05327986885279103,0.9223395115292339,1.1723086835687415,-0.06663375083483355,2.0143426748242383,0,0,1,0,0
0.4827586206896552,0.14702813206159152,0.11749060396085195,1.016856101379101,-0.1963229508495485,3.443632243144197,1.9972021574036065,0,1,0,0,0
0.7241379310344828,-0.314952900479585,-0.030510472477638637,1.1181238762182444,0.5260104117601048,1.3820474530295281,1.980061639982974,0,0,0,0,1
0.1724137931034483,1.1369874875069699,0.5273397387135945,1.0708655812933108,-0.2343404962500566,0.15624028052891448,1.980061639982974,0,0,0,0,1
0.13793103448275862,1.3349793585960454,1.2673451209060473,-0.7992126607362015,1.7045543191758543,0.0448032648470404,1.928640087721077,1,0,0,0,0
0.27586206896551724,0.9389956164178941,1.3698074045942332,-0.299624971529761,2.312835045583983,-0.5123818135623295,1.928640087721077,1,0,0,0,0
0.13793103448275862,1.3349793585960454,0.25410698221176636,0.23371864262305989,0.41195777555858026,3.610787766667008,1.928640087721077,0,1,0,0,0
0.034482758620689655,1.4009766489590707,0.18579879308630914,0.45650774726917526,0.6400630479616288,2.217825070643583,1.911499570300445,0,0,0,1,0
0.27586206896551724,0.9389956164178941,0.0036436220850899603,0.48351248722628015,0.06979986695400797,3.610787766667008,1.87721853545918,0,1,0,0,0
0.4482758620689655,0.27902271278764196,0.6867255133396613,0.19321153268740257,2.312835045583983,1.3263289451885913,1.808656465776651,0,0,1,0,0
0.5517241379310345,0.08103084169856628,0.41349275683783315,0.07844138786970677,1.3243788651707737,0.8248623746201582,1.808656465776651,0,0,1,0,0
0.5862068965517241,0.015033551335541052,-0.04189517066521484,0.6185361870118046,0.5260104117601048,2.050669547120772,1.7915159483560186,0,0,0,0,1
0.5172413793103449,0.14702813206159152,0.18579879308630914,0.956095436475615,-0.0822703146480244,0.43483281973359944,1.7915159483560186,0,0,0,0,1
0.3793103448275862,0.4110172935136924,0.16302939671115674,0.11894849780536411,2.198782409382459,0.37911431189266237,1.7229538786734895,0,0,1,0,0
0.5517241379310345,0.08103084169856628,0.03779771664781856,0.11219731281608789,0.6780805933621368,4.836594939167622,1.6886728438322252,0,1,0,0,0
0.4482758620689655,0.27902271278764196,-0.17851154891612922,0.145953237762469,-0.2723580416505647,3.7779432901898184,1.6715323264115924,0,1,0,0,0
0.7931034482758621,-0.908928513746812,0.7322643060899661,-0.5359164461544288,0.7921332295636608,0.6019883432564103,1.6715323264115924,0,0,0,1,0
