Team Rank,Team Overall,eFG%,FT%,TRB,STL,BLK,AST,PTS,POS_C,POS_PG,POS_PF,POS_SF,POS_SG
0.45161290322580644,0.34520596832002887,-0.23933831993729593,0.7584502977705794,1.5504197671329927,3.3846771157392204,-0.419587763600742,3.9070416303837723,3.6325270604086484,0,1,0,0,0
0.0967741935483871,1.1673926076493413,0.34352207736439094,0.9870472732739923,0.8900884136259366,2.918282733735664,0.7011352531829987,2.9850922384658753,3.505245032958502,0,0,0,0,1
0.45161290322580644,0.34520596832002887,1.0408729098503373,0.8900667382119384,1.2615247999736554,0.5863108237178847,1.1494244598964953,1.314058965614686,3.141582097386657,0,0,0,1,0
0.22580645161290322,0.943159887832256,0.5933193904936855,-0.10744733671204477,1.0139005424085097,2.2186911607303306,0.7011352531829987,3.21557958644535,3.123398950608065,0,0,0,1,0
0.41935483870967744,0.34520596832002887,0.6037276118740729,0.5506348654947502,2.747270345364532,1.9854939697285523,5.632316527031459,0.219244062712183,2.9597506296007343,0,0,1,0,0
0.9354838709677419,-1.7476327499727662,0.041683657333159936,0.4952174168878622,1.2615247999736554,0.8195080147196626,0.02870144311275437,0.7378405956660002,2.92338433604355,0,0,0,1,0
0.8064516129032258,-0.8507018707044253,-0.10403144199226134,0.3913097007499472,3.779038085219307,1.9854939697285523,2.942581286750481,1.0259497806403433,2.905201189264958,1,0,0,0,0
0.03225806451612903,1.9895792469786533,1.2074044519365337,1.3056976027635983,0.31229847930726234,3.1514799247374423,-0.419587763600742,3.3884450974299556,2.850651748929181,0,1,0,0,0
0.25806451612903225,0.7936714079541992,0.010458993191998112,0.8277221085291894,2.747270345364532,0.11991644171432858,1.3735690632532433,-0.06886512226216009,2.7779191618148116,0,0,1,0,0
0.8709677419354839,-1.4486557902166526,-0.697300060674336,0.6060523141016374,0.8900884136259366,1.5190995877249966,-0.419587763600742,2.178386520537715,2.5779045472502973,0,0,0,0,1
0.12903225806451613,1.1673926076493413,0.2914809704624546,0.01724192265345322,1.6742318959155658,0.5863108237178847,0.2528460464695025,2.0055210095531093,2.505171960135928,0,0,1,0,0
0.22580645161290322,0.943159887832256,0.5620947263525237,0.9524113678946874,-0.14167932622883864,1.9854939697285523,-0.19544316024399389,1.9478991725582409,2.4688056665787435,0,1,0,0,0
0.03225806451612903,1.9895792469786533,0.8014838181014311,1.0632462651084633,-0.14167932622883864,1.0527052057214408,0.9252798565397472,0.6225969216762629,2.4688056665787435,0,0,0,0,1
0.6774193548387096,-0.25274795119219823,0.052091878713547216,0.2943291656878932,-0.017867197446265682,1.2859023967232184,-0.19544316024399389,1.7174118245787662,2.432439373021559,0,0,0,0,1
0.6774193548387096,-0.25274795119219823,0.2602563063212927,0.3220378899913372,1.4266076383504196,0.5863108237178847,0.47699064982625067,0.219244062712183,2.35970678590719,1,0,0,0,0
0.8064516129032258,-0.8507018707044253,0.1353576497566454,0.9177754625153823,0.9726298328143187,0.8195080147196626,0.47699064982625067,1.083571617635212,2.35970678590719,0,0,0,1,0
0.25806451612903225,0.7936714079541992,0.2914809704624546,0.9593385489705484,0.4361106080898353,1.2859023967232184,-0.19544316024399389,2.524117542506927,2.3415236391285976,0,1,0,0,0
0.3548387096774194,0.6441829280761425,-0.5411767399685269,0.7376687545429964,0.4361106080898353,1.2859023967232184,-0.419587763600742,0.9683279436454746,2.177875318121268,0,0,0,0,1
0.2903225806451613,0.7189271680151709,0.24984808494090546,0.7515231166947184,0.9313591232201275,2.685085542733886,0.47699064982625067,0.8530842696557372,2.159692171342675,0,0,0,0,1
0.967741935483871,-1.8223769899117945,0.09372476423509632,1.0771006272601853,0.023403512147925364,0.35311363271610674,-0.8678769703142385,0.2768658997070514,2.159692171342675,0,0,0,0,1
0.6451612903225806,-0.17800371125316983,0.2290316421801309,0.5991251330257772,0.5599227368724086,1.7522967787267743,0.02870144311275437,1.314058965614686,2.0324101438925295,0,0,0,1,0
0.8387096774193549,-1.149678830460539,0.47882895530942554,0.1834942684741172,3.0361653125238695,0.11991644171432858,0.7011352531829987,0.10400038872244571,2.0324101438925295,1,0,0,0,0
0.12903225806451613,1.1673926076493413,0.6974016042975583,1.2087170677015444,0.4361106080898353,2.918282733735664,-0.419587763600742,4.828991022301669,1.996043850335345,0,1,0,0,0
0.3225806451612903,0.7189271680151709,-0.03117389232955099,0.1834942684741172,-0.4718450029823668,2.918282733735664,-0.19544316024399389,1.314058965614686,1.95967755677816,0,0,0,0,1
0.2903225806451613,0.7189271680151709,0.2290316421801309,0.5367805033430282,3.4076016988715887,-0.8128723222927832,3.390870493463977,0.5073532476865259,1.8869449696637912,0,0,1,0,0
0.8387096774193549,-1.149678830460539,-0.041582113709938265,0.6476154005568034,0.27102776971307146,2.451888351732108,-0.19544316024399389,1.314058965614686,1.7778460889922374,0,0,0,0,1
0.3548387096774194,0.6441829280761425,-0.020765670949163716,0.5714164087223331,0.47738131768402653,2.2186911607303306,-0.419587763600742,2.869848564476138,1.7596629422136454,0,1,0,0,0
0.2903225806451613,0.7189271680151709,-0.2913794268392323,0.6060523141016374,-0.14167932622883864,0.11991644171432858,-0.19544316024399389,1.775033661573635,1.741479795435053,0,1,0,0,0
0.3870967741935484,0.41995020825905727,-0.051990335090325544,0.41209124397753016,0.4361106080898353,2.451888351732108,0.47699064982625067,4.713747348311933,1.723296648656461,0,1,0,0,0
0.16129032258064516,1.092648367710313,0.1873987566585818,0.48136305473614016,1.7567733151039475,0.5863108237178847,2.718436683393733,1.1411934546300802,1.686930355099276,1,0,0,0,0
